Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2000-01-03,92.14252471923828,93.92439563129919,91.15259643476,93.92439563129919,8164300
2000-01-04,88.53919219970703,91.27139446347259,88.46989721475646,90.93481882228409,8089800
2000-01-05,88.69757080078125,89.6677004814148,86.95529708862304,88.65797367095946,12177900
2000-01-06,87.27207946777344,89.64790740246781,87.27207946777344,88.45999343512062,6227200
2000-01-07,92.34049224853516,92.34049224853516,88.73715400041479,88.89554249483766,8066500
2000-01-10,92.65731811523438,93.07308813241812,91.88517379760742,92.65731811523438,5741700
2000-01-11,91.5485610961914,92.55828787298763,90.9150070401624,92.38010079472947,7503700
2000-01-12,90.63780975341797,91.60793921561051,90.51901839070051,91.60793921561051,6907700
2000-01-13,91.8653564453125,92.3405220820986,90.77643519434436,91.52878078592235,5158300
2000-01-14,93.1126480102539,93.42942503941913,92.47909395192346,92.83546810973434,7437300
2000-01-18,92.3801040649414,92.89486675368732,91.98413276590608,92.0831255906649,6488500
2000-01-19,93.13246154785156,93.13246154785156,91.86535322747262,92.06333890253184,6157900
2000-01-20,91.70693969726562,93.11263760713304,91.11298283394137,93.11263760713304,5800100
2000-01-21,91.50894927978516,92.18210035626994,91.27136654690817,92.18210035626994,6244800
2000-01-24,88.91535949707031,92.39990709704456,88.32140251980198,92.28111570159089,7896900
2000-01-25,89.92508697509766,89.92508697509766,88.0640217668944,89.0242522200631,9942500
2000-01-26,89.21231842041016,89.67758461723209,88.75695150437166,89.33110978981149,5158100
2000-01-27,88.85594940185547,90.1032588520152,87.50964713819099,89.86567609960382,10922700
2000-01-28,86.08416748046875,88.73717540189995,85.86638324811246,88.34120407034305,11916200
2000-01-31,88.4203872680664,88.48968224241442,85.52979690954923,86.04455957613447,10768700
2000-02-01,89.29156494140625,89.766730697192,87.76707480826029,88.53921916141213,8419900
2000-02-02,89.37075805664062,90.12310382672311,88.93518945290866,89.50934806691897,6205900
2000-02-03,90.71703338623047,90.75663051996519,88.69757956576004,89.25193943804604,7997500
2000-02-04,90.34085083007812,91.23178624260356,90.04387235923632,90.7170235598111,4925400
2000-02-07,90.20225524902344,90.45963657436086,89.6082983443986,90.3210466299484,5845800
2000-02-08,91.42974853515625,91.58813701248003,90.99418022251584,91.21196437883604,4936400
2000-02-09,89.50930786132812,91.52876138971907,89.4994085793262,91.52876138971907,8511500
2000-02-10,89.6874771118164,90.32103103401909,89.25190879030207,89.72707423195408,6690600
2000-02-11,87.86605072021484,89.92510193132398,87.4502807641255,89.86570622331121,9849800
2000-02-14,88.38081359863281,88.5590007228236,87.62846796316057,88.5590007228236,8528800
2000-02-15,89.38063049316406,89.46972404443646,87.3017809634748,88.2224143266229,11078300
2000-02-16,88.06399536132812,89.29150608803728,87.93530472062474,88.93513200608946,8845400
2000-02-17,87.6086654663086,88.97476669052901,87.56906832937467,88.97476669052901,7584200
2000-02-18,85.72779846191406,87.98483518816307,85.29222997088355,87.98483518816307,9409200
2000-02-22,85.51002502441406,86.38116211658222,84.59929079169282,85.64861501634991,16415400
2000-02-23,86.51970672607422,87.09386496292917,85.21300177323191,85.92574992932771,12119000
2000-02-24,84.77745056152344,86.81670264182165,84.32208359213647,86.59891843907135,17375000
2000-02-25,84.47059631347656,86.61874109257236,84.34190561242474,85.64861119233555,10559900
2000-02-28,86.2425765991211,86.59895088258853,84.08453232701268,84.50030232439137,13397800
2000-02-29,87.0741195678711,87.0741195678711,86.00499668095317,86.20298240075279,8242500
2000-03-01,87.70765686035156,88.06403108687218,86.93551270289022,87.19289408871067,6868000
2000-03-02,87.76703643798828,88.14320916352895,87.01469098690696,87.86602926049899,7600200
2000-03-03,89.41031646728516,89.78648918935743,88.51938107290343,88.97474805225409,12770300
